key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
src,22,163152,3816,190,832,0,4838,32.99,18406.36,6892,22,0
tools,13,76542,1765,109,365,0,2239,28.08,6450.83,2239,13,0
tests,19,38979,942,35,254,0,1231,10.55,1974.31,1543,19,0
templates,3,29352,664,4,92,0,760,28.79,2884.43,1468,3,0
.,16,2797061,225,6,265,695,1191,0.81,32.93,1168,16,4
ontology,11,222309,94,0,440,4827,5361,2.13,94.7,5375,11,0
04_user_data,2,1018,42,0,0,0,42,2.5,34.88,42,2,0
docs,9,29348,0,0,160,612,772,0.32,13.08,776,9,0
