scope,file_count,tracked_files,code_lines,doc_lines,comment_lines,binary_files,total_churn,avg_risk_score,avg_hotspot_score,test_to_prod_code_ratio,docs_to_prod_code_ratio,comment_density
all_scanned,97,97,8663,6134,344,4,20668,14.71,5874.08,,,
docs_only,24,24,0,6134,0,0,6929,0.8,43.46,,,
engineering_core,65,65,8506,0,338,0,13555,21.61,8746.63,,,
git_visible,97,97,8663,6134,344,4,20668,14.71,5874.08,,,
production_core,46,46,7564,0,303,0,12012,25.24,11512.52,0.1245,0.8109,0.0385
tests_only,19,19,942,0,35,0,1543,12.81,2050.26,,,
tracked_only,97,97,8663,6134,344,4,20668,14.71,5874.08,,,
workspace_noise,4,4,0,0,0,4,0,0.0,0.15,,,
