path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
02_wardrobe_images/karen/schmuck52/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,3759244,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck52/schmuck52.txt,schmuck52.txt,.txt,Text,documentation,02_wardrobe_images,1866,False,True,38,0,0,22,16,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck53/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,3920275,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck53/schmuck53.txt,schmuck53.txt,.txt,Text,documentation,02_wardrobe_images,1102,False,True,20,0,0,10,10,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck54/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,4031987,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck54/schmuck54.txt,schmuck54.txt,.txt,Text,documentation,02_wardrobe_images,897,False,True,20,0,0,10,10,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck55/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,671131,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck55/schmuck55.txt,schmuck55.txt,.txt,Text,documentation,02_wardrobe_images,832,False,True,20,0,0,10,10,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck57/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,3809865,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck57/schmuck57.txt,schmuck57.txt,.txt,Text,documentation,02_wardrobe_images,625,False,True,18,0,0,9,9,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck58/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,4040756,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck58/schmuck58.txt,schmuck58.txt,.txt,Text,documentation,02_wardrobe_images,2966,False,True,55,0,0,29,26,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck59/bild1.jpg,bild1.jpg,.jpg,JPG,asset,02_wardrobe_images,3317053,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck59/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,3634878,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck59/schmuck59.txt,schmuck59.txt,.txt,Text,documentation,02_wardrobe_images,515,False,True,13,0,0,7,6,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_wardrobe_images/karen/schmuck60/main.jpg,main.jpg,.jpg,JPG,asset,02_wardrobe_images,3633772,True,False,0,0,0,0,0,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,1.0,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,
