file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,_make_writable,function,303,307,5,2,1,1,False
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,_onerror,function,309,314,6,2,1,3,False
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,_onexc,function,316,321,6,2,1,3,False
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,robust_move,function,332,346,15,5,3,4,False
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,parse_args,function,349,379,31,1,0,1,False
_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py,main,function,382,678,297,52,9,1,False
_release_staging/CapsuleWardrobeRAG/src/init_project.py,setup_folders,function,5,16,12,2,1,0,False
_release_staging/CapsuleWardrobeRAG/src/init_project.py,create_initial_profiles,function,18,44,27,2,1,0,False
_release_staging/CapsuleWardrobeRAG/src/logging_config.py,RequestIdFilter.filter,method,15,17,3,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/logging_config.py,setup_logging,function,20,79,60,7,4,1,True
_release_staging/CapsuleWardrobeRAG/src/logging_utils.py,setup_logging,function,14,19,6,1,0,1,True
_release_staging/CapsuleWardrobeRAG/src/logging_utils.py,get_logger,function,22,26,5,1,0,1,True
_release_staging/CapsuleWardrobeRAG/src/logging_utils.py,set_request_id,function,29,33,5,1,0,1,True
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,_extract_yaml_from_md,function,19,28,10,3,1,1,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,_norm,function,31,40,10,3,1,1,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager.__init__,method,62,100,39,4,0,7,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager.load_from_files,method,103,153,51,14,1,1,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._load_overrides,method,156,174,19,9,3,0,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._load_color_lexicon,method,177,198,22,8,3,0,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._load_legacy_from_db,method,201,213,13,7,2,0,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._build_indexes,method,215,348,134,60,8,1,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._suggest,method,350,375,26,5,1,5,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager._index_for,method,377,388,12,6,1,2,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager.normalize_field,method,390,446,57,15,2,3,False
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,OntologyManager.validate_or_normalize,method,448,465,18,7,2,3,False
_release_staging/CapsuleWardrobeRAG/src/reset_folders.py,remove_readonly,function,12,18,7,1,0,3,True
_release_staging/CapsuleWardrobeRAG/src/reset_folders.py,reset_folders,function,20,55,36,9,5,0,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_norm_key,function,38,40,3,1,0,1,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_is_sensitive_key,function,43,45,3,2,0,1,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_redact,function,48,70,23,7,3,1,True
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_connect,function,73,81,9,2,1,0,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_safe_json,function,84,92,9,2,1,1,True
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,_parse_ts,function,95,101,7,3,1,1,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,RunHandle.event,method,111,112,2,1,0,5,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,RunHandle.ok,method,114,115,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,RunHandle.fail,method,117,118,2,1,0,3,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,RunHandle.partial,method,120,121,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,RunHandle._duration_ms,method,123,124,2,1,0,1,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,start_run,function,127,147,21,3,1,3,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,log_event,function,150,163,14,3,1,5,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,finish_run,function,166,191,26,2,1,5,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,run_context,function,195,209,15,5,2,3,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,list_runs,function,216,270,55,10,3,6,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,get_run,function,273,295,23,5,2,1,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,list_events,function,298,324,27,5,3,3,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,compute_kpis,function,327,375,49,21,3,2,False
_release_staging/CapsuleWardrobeRAG/src/run_registry.py,rate,function,339,340,2,2,0,1,False
_release_staging/CapsuleWardrobeRAG/src/server_entry.py,_ensure_project_root_on_syspath,function,18,26,9,2,1,0,True
_release_staging/CapsuleWardrobeRAG/src/server_entry.py,main,function,28,50,23,1,0,0,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,_get_str,function,17,18,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,_get_bool,function,21,22,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,_get_int,function,25,26,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,_get_float,function,29,30,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,_norm_path,function,33,45,13,4,1,2,True
_release_staging/CapsuleWardrobeRAG/src/settings.py,_load_from_env,function,48,128,81,3,1,0,False
_release_staging/CapsuleWardrobeRAG/src/settings.py,reload_settings,function,131,137,7,1,0,0,True
_release_staging/CapsuleWardrobeRAG/src/update_db_schema.py,_db_path,function,8,10,3,2,0,0,False
