key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
other,196,27510331,112311,307,1289,0,113907,5.88,15.21,238,4,15
application,23,171752,4031,187,882,0,5100,26.96,15474.14,7154,23,0
tooling,14,130602,2941,162,575,0,3678,25.7,6810.83,2239,13,0
test,38,77976,1890,64,508,0,2462,19.7,1612.34,1543,19,0
template,6,58722,1328,8,184,0,1520,12.88,1926.78,1468,3,0
config,13,69127,1311,0,60,0,1371,5.18,795.41,1151,7,0
asset,768,1962439395,0,0,0,0,0,0.0,1.0,0,4,768
data,2,491520,0,0,0,0,0,0.0,1.0,0,0,2
documentation,487,4792019,0,0,20882,100424,121306,0.39,15.23,6929,24,1
