severity,kind,path,details
warning,high-churn,src/api_main.py,Git churn is 320.
warning,high-churn,src/api_v2.py,Git churn is 1946.
warning,high-churn,src/category_map.py,Git churn is 364.
warning,high-churn,src/db_schema.py,Git churn is 285.
warning,high-churn,src/ingest_wardrobe.py,Git churn is 1106.
warning,high-churn,src/ontology_runtime.py,Git churn is 465.
warning,high-churn,src/run_registry.py,Git churn is 407.
warning,high-churn,src/web_dashboard.py,Git churn is 1125.
warning,high-churn,src/web_dashboard.py.bak,Git churn is 262.
warning,high-churn,templates/admin_item_edit.html,Git churn is 444.
warning,high-churn,templates/index.html,Git churn is 686.
warning,high-churn,templates/item_detail.html,Git churn is 338.
warning,high-churn,tools/ontology_runtime_dump.py,Git churn is 263.
warning,high-churn,tools/project_audit_dump.py,Git churn is 446.
warning,high-churn,tools/secret_scan.py,Git churn is 288.
warning,high-function-complexity,src/api_v2.py,Max function CC is 43.
warning,high-function-complexity,src/category_map.py,Max function CC is 65.
warning,high-function-complexity,src/ingest_wardrobe.py,Max function CC is 46.
warning,high-function-complexity,src/ontology_runtime.py,Max function CC is 61.
warning,high-function-complexity,src/run_registry.py,Max function CC is 22.
warning,high-function-complexity,src/web_dashboard.py,Max function CC is 34.
warning,high-function-complexity,tools/handoff_make.py,Max function CC is 20.
warning,high-function-complexity,tools/ingest_recover.py,Max function CC is 26.
warning,high-function-complexity,tools/project_audit_dump.py,Max function CC is 24.
warning,large-production-file,src/api_v2.py,Production file has 929 code lines.
warning,large-production-file,src/ingest_wardrobe.py,Production file has 565 code lines.
warning,low-coverage,src/api_v2.py,Coverage is 54.82%.
warning,low-coverage,src/category_map.py,Coverage is 59.91%.
warning,low-coverage,src/check_db.py,Coverage is 0.00%.
warning,low-coverage,src/database_manager.py,Coverage is 0.00%.
warning,low-coverage,src/error_contract.py,Coverage is 66.00%.
warning,low-coverage,src/export_db.py,Coverage is 0.00%.
warning,low-coverage,src/ingest_wardrobe.py,Coverage is 0.00%.
warning,low-coverage,src/init_project.py,Coverage is 0.00%.
warning,low-coverage,src/logging_utils.py,Coverage is 0.00%.
warning,low-coverage,src/models.py,Coverage is 0.00%.
warning,low-coverage,src/ontology_runtime.py,Coverage is 59.12%.
warning,low-coverage,src/reset_folders.py,Coverage is 0.00%.
warning,low-coverage,src/server_entry.py,Coverage is 0.00%.
warning,low-coverage,src/update_db_schema.py,Coverage is 0.00%.
warning,low-coverage,src/wardrobe_stylist.py,Coverage is 0.00%.
warning,low-coverage,src/web_dashboard.py,Coverage is 49.63%.
warning,tracked-backup-file,src/web_dashboard.py.bak,Tracked backup-like file should usually not live in the canonical repository.
warning,tracked-generated-data,wardrobe_export.json,Tracked generated/export-style artifact should be reviewed for relocation or ignoring.
