scope,file_count,tracked_files,code_lines,doc_lines,comment_lines,binary_files,total_churn,avg_risk_score,avg_hotspot_score,test_to_prod_code_ratio,docs_to_prod_code_ratio,comment_density
all_scanned,97,97,8663,6134,344,4,20668,15.04,5567.94,,,
docs_only,24,24,0,6134,0,0,6929,0.94,43.46,,,
engineering_core,64,64,7603,0,338,0,12652,22.38,8398.49,,,
git_visible,97,97,8663,6134,344,4,20668,15.04,5567.94,,,
production_core,45,45,6661,0,303,0,11109,27.36,11110.92,0.1414,0.9209,0.0435
tests_only,19,19,942,0,35,0,1543,10.59,1974.31,,,
tracked_only,97,97,8663,6134,344,4,20668,15.04,5567.94,,,
workspace_noise,5,5,903,0,0,4,903,0.0,266.49,,,
