key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
application,23,171752,4028,190,882,0,5100,33.02,17694.6,7154,23,0
tooling,13,76545,1765,109,365,0,2239,28.19,6450.83,2239,13,0
test,19,38988,942,35,254,0,1231,10.59,1974.31,1543,19,0
data,1,58739,903,0,0,0,903,0.0,1331.83,903,1,0
template,3,29361,664,4,92,0,760,28.94,2884.43,1468,3,0
config,6,5194,204,0,30,0,234,3.07,83.58,248,6,0
other,4,8951,157,6,21,0,184,0.86,52.76,184,4,0
asset,4,2750943,0,0,0,0,0,0.0,0.15,0,4,4
documentation,24,284654,0,0,814,6134,6948,0.94,43.46,6929,24,0
