key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
src,23,171752,4028,190,882,0,5100,33.02,17694.6,7154,23,0
tools,13,76545,1765,109,365,0,2239,28.19,6450.83,2239,13,0
.,17,2855803,1128,6,265,695,2094,0.77,109.34,2071,17,4
tests,19,38988,942,35,254,0,1231,10.59,1974.31,1543,19,0
templates,3,29361,664,4,92,0,760,28.94,2884.43,1468,3,0
ontology,11,222309,94,0,440,4827,5361,2.14,94.7,5375,11,0
04_user_data,2,1018,42,0,0,0,42,2.5,34.88,42,2,0
docs,9,29351,0,0,160,612,772,0.32,13.08,776,9,0
