path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,visible_to_git,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,content_sha1,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_available,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
.env,.env,,No Extension,other,.,806,False,True,27,22,0,5,0,False,False,2,27,27,54,2,Andreas; Andreas Keis,2026-02-21T18:54:17+00:00,0.0,0,0,0,0.53,Low,50.43,XS (<50),1a901fe5b33c11384659788e14bc9265e9641686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.env.bak,.env.bak,.bak,BAK,other,.,806,False,True,27,22,0,5,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.22,Low,0.92,XS (<50),1a901fe5b33c11384659788e14bc9265e9641686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.env.example,.env.example,.example,EXAMPLE,other,.,1430,False,True,46,38,0,8,0,True,True,2,46,0,46,1,Andreas,2026-02-21T20:31:45+00:00,0.0,0,0,0,0.64,Low,50.03,XS (<50),e70999f5ff7aa5bb1b7fe47261662c24a8685d91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.gitattributes,.gitattributes,,No Extension,other,.,1161,False,True,52,46,0,6,0,True,True,1,52,0,52,1,Andreas,2026-02-21T20:04:51+00:00,0.0,0,0,0,0.76,Low,59.2,XS (<50),2fd803d0efdcf75965c7428ed5a8eb0cadc7aeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.gitignore,.gitignore,,No Extension,config,.,845,False,True,72,55,0,17,0,True,True,5,75,3,78,2,Andreas; Andreas Keis,2026-03-01T16:34:42+00:00,0.0,0,0,0,1.75,Low,161.28,S (50-199),f812f223b7f15382fed281c12a007ca4e30a6b80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.venv_broken_20260215/Lib/site-packages/PIL/_imaging.cp312-win_amd64.pyd,_imaging.cp312-win_amd64.pyd,.pyd,PYD,other,.venv_broken_20260215,2588160,True,False,0,0,0,0,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,0.2,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.venv_broken_20260215/Lib/site-packages/httptools/parser/parser.cp312-win_amd64.pyd,parser.cp312-win_amd64.pyd,.pyd,PYD,other,.venv_broken_20260215,124928,True,False,0,0,0,0,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,0.2,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.venv_broken_20260215/Lib/site-packages/httptools/parser/url_parser.cp312-win_amd64.pyd,url_parser.cp312-win_amd64.pyd,.pyd,PYD,other,.venv_broken_20260215,53248,True,False,0,0,0,0,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,0.2,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.venv_broken_20260215/Lib/site-packages/markupsafe/_speedups.cp312-win_amd64.pyd,_speedups.cp312-win_amd64.pyd,.pyd,PYD,other,.venv_broken_20260215,13312,True,False,0,0,0,0,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,0.2,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.venv_broken_20260215/Lib/site-packages/pydantic_core/_pydantic_core.cp312-win_amd64.pyd,_pydantic_core.cp312-win_amd64.pyd,.pyd,PYD,other,.venv_broken_20260215,5436928,True,False,0,0,0,0,0,False,False,0,0,0,0,0,,,0.0,0,0,0,0.0,Low,0.2,XS (<50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
