severity,kind,path,details
warning,coverage-unavailable,,No coverage.json provided and --run-tests was not used.
warning,high-churn,src/api_main.py,Git churn is 320.
warning,high-churn,src/api_v2.py,Git churn is 1946.
warning,high-churn,src/category_map.py,Git churn is 364.
warning,high-churn,src/db_schema.py,Git churn is 285.
warning,high-churn,src/ingest_wardrobe.py,Git churn is 1106.
warning,high-churn,src/ontology_runtime.py,Git churn is 465.
warning,high-churn,src/run_registry.py,Git churn is 407.
warning,high-churn,src/web_dashboard.py,Git churn is 1125.
warning,high-churn,src/web_dashboard.py.bak,Git churn is 262.
warning,high-churn,templates/admin_item_edit.html,Git churn is 444.
warning,high-churn,templates/index.html,Git churn is 686.
warning,high-churn,templates/item_detail.html,Git churn is 338.
warning,high-churn,tools/ontology_runtime_dump.py,Git churn is 263.
warning,high-churn,tools/project_audit_dump.py,Git churn is 446.
warning,high-churn,tools/secret_scan.py,Git churn is 288.
warning,high-churn,wardrobe_export.json,Git churn is 903.
warning,high-function-complexity,src/api_v2.py,Max function CC is 43.
warning,high-function-complexity,src/category_map.py,Max function CC is 65.
warning,high-function-complexity,src/ingest_wardrobe.py,Max function CC is 52.
warning,high-function-complexity,src/ontology_runtime.py,Max function CC is 60.
warning,high-function-complexity,src/run_registry.py,Max function CC is 21.
warning,high-function-complexity,src/web_dashboard.py,Max function CC is 30.
warning,high-function-complexity,tools/handoff_make.py,Max function CC is 20.
warning,high-function-complexity,tools/ingest_recover.py,Max function CC is 25.
warning,high-function-complexity,tools/project_audit_dump.py,Max function CC is 24.
warning,high-function-complexity,tools/repo_metrics_bold.py,Max function CC is 30.
warning,high-function-complexity,tools/repo_metrics_bold_v2.py,Max function CC is 51.
warning,large-production-file,src/api_v2.py,Production file has 929 code lines.
warning,large-production-file,src/ingest_wardrobe.py,Production file has 565 code lines.
warning,large-production-file,tools/repo_metrics_bold.py,Production file has 1175 code lines.
warning,large-production-file,tools/repo_metrics_bold_v2.py,Production file has 1474 code lines.
warning,large-production-file,wardrobe_export.json,Production file has 903 code lines.
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/.gitignore,Mirrors .gitignore
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/andreas/2025 06 Luxor Businesshemd  modern fit Global Kent Bleu/2025 06 Luxor Businesshemd  modern fit Global Kent Bleu.txt,Mirrors 02_wardrobe_images/andreas/2025 06 Luxor Businesshemd  modern fit Global Kent Bleu/2025 06 Luxor Businesshemd  modern fit Global Kent Bleu.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/andreas/Pailletten Jacket/Pailletten Jacket.txt,Mirrors 02_wardrobe_images/andreas/Pailletten Jacket/Pailletten Jacket.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/01 Sandalen von der Marke Tamaris Rot/Sandalen von der Marke Tamaris.txt,Mirrors 02_wardrobe_images/karen/01 Sandalen von der Marke Tamaris Rot/Sandalen von der Marke Tamaris.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/02 Sandalen von der Marke Tamaris Blau/Sandalen von der Marke Tamaris Blau.txt,Mirrors 02_wardrobe_images/karen/02 Sandalen von der Marke Tamaris Blau/Sandalen von der Marke Tamaris Blau.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/03 flachen Pumps mit Keilabsatz Tamaris SChwarz/flachen Pumps mit Keilabsatz Tamaris SChwarz.txt,Mirrors 02_wardrobe_images/karen/03 flachen Pumps mit Keilabsatz Tamaris SChwarz/flachen Pumps mit Keilabsatz Tamaris SChwarz.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/04 flachen Pumps mit Keilabsatz Tamaris beige-nude/flachen Pumps mit Keilabsatz Tamaris beige-nude.txt,Mirrors 02_wardrobe_images/karen/04 flachen Pumps mit Keilabsatz Tamaris beige-nude/flachen Pumps mit Keilabsatz Tamaris beige-nude.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/05 flachen Pump mit einem Keilabsatz Tamaris/05 flachen Pump mit einem Keilabsatz Tamaris.txt,Mirrors 02_wardrobe_images/karen/05 flachen Pump mit einem Keilabsatz Tamaris/05 flachen Pump mit einem Keilabsatz Tamaris.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/06 hohe Pumps ist von Tamaris aus der Serie Heart/06 hohe Pumps ist von Tamaris aus der Serie Heart.txt,Mirrors 02_wardrobe_images/karen/06 hohe Pumps ist von Tamaris aus der Serie Heart/06 hohe Pumps ist von Tamaris aus der Serie Heart.txt
warning,shadow-duplicate,_release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/07 hohe Pumps ist von Tamaris aus der Serie Heart schwarz/07 hohe Pumps ist von Tamaris aus der Serie Heart schwarz.txt,Mirrors 02_wardrobe_images/karen/07 hohe Pumps ist von Tamaris aus der Serie Heart schwarz/07 hohe Pumps ist von Tamaris aus der Serie Heart schwarz.txt
